year,latitude,longitude,depth,mag,gap,dmin,rms,horizontalError,depthError,magError,magNst,depth_class
2023,-6.8316,116.5593,512.824,5.6,26,2.321,0.54,8.62,3.898,0.098,10,2
2022,-6.7235,129.9544,149.0,5.6,30,1.828,0.6,3.21,1.928,0.04,59,1
2024,-8.2065,121.1669,21.643,5.6,54,3.41,0.99,6.69,2.555,0.06,27,0
2023,-7.8107,118.6792,10.886,5.6,27,1.349,0.74,6.32,3.967,0.068,21,0
2021,-7.6129,122.3166,10.0,5.6,28,1.019,0.86,6.0,1.7,0.049,150,0
2022,-7.2331,107.6139,120.0,5.6,50,0.231,0.51,8.36,1.857,0.089,12,1
2021,-7.0438,128.6847,10.0,5.6,30,2.754,0.85,5.8,1.6,0.073,18,0
2023,-7.0256,129.5058,114.224,5.6,47,2.518,0.55,7.63,5.268,0.075,17,1
2024,3.1837,127.2673,45.789,5.6,35,2.398,0.92,7.12,4.12,0.078,16,0
2020,4.071,126.5197,28.61,5.6,46,3.122,0.84,6.3,3.2,0.054,33,0
2022,2.5867,124.6644,231.0,5.6,13,3.247,0.88,7.18,1.833,0.05,38,1
2022,1.8437,127.2017,39.28,5.6,36,1.077,1.01,6.4,3.6,0.068,21,0
2021,5.671,125.0293,54.5,5.6,35,1.493,0.47,6.1,5.9,0.065,23,0
2020,3.7953,125.7576,122.0,5.5,32,3.257,1.32,7.4,1.8,0.058,29,1
2024,3.838,122.9135,524.072,5.5,44,3.445,0.75,9.92,5.282,0.066,22,2
2021,3.9581,128.6424,47.56,5.5,38,3.412,0.81,7.1,4.8,0.073,18,0
2022,4.6517,95.0249,42.0,5.5,56,4.188,0.61,7.1,1.9,0.056,31,0
2021,4.9536,127.5262,83.0,5.5,31,2.858,0.9,7.5,1.9,0.058,29,1
2023,2.6982,127.1349,50.394,5.5,31,1.927,0.77,6.87,3.8,0.046,163,0
2023,2.8202,127.0015,9.735,5.5,43,2.067,0.94,7.61,3.335,0.08,15,0
2021,2.9677,126.5601,42.57,5.5,32,2.325,0.76,6.6,4.1,0.037,258,0
2024,1.3429,118.4805,6.526,5.5,58,2.312,0.83,6.47,3.116,0.052,35,0
2024,1.5039,121.1742,32.854,5.5,29,0.553,0.89,5.27,3.35,0.056,31,0
2023,-2.5533,140.8007,30.83,5.5,33,0.104,0.59,7.38,4.07,0.068,21,0
